,,,,,,,,,,,,,,,Snip Label,Snip Number,Cluster Index
7.6,-15.48,29.95,29.83,16.83,-4.6,34.56,-12.55,-6.72,14.02,19.98,0.31,1544.18,1806.93,1719.35,0,1,0
7.53,-15.45,30.01,29.89,16.77,-4.65,34.58,-12.33,-7.88,8.04,16.69,0.32,1617.85,1916.4,1816.88,0,1,4
7.39,-15.27,30.13,30.01,16.54,-4.64,34.58,-1.08,-9.92,-4.28,10.86,0.32,1673.65,1939.08,1850.6,0,1,4
7.38,-15.04,30.2,30.08,16.35,-4.52,34.54,2.6,6.68,6.2,9.48,0.27,2149.07,1952.62,2018.1,0,1,4
7.53,-14.84,30.11,30,16.29,-4.27,34.41,-8.44,8.94,16.01,20.18,0.28,1744.28,2056.11,1952.17,0,1,4
7.41,-14.69,30.07,29.96,16.1,-4.26,34.28,9.51,-3.03,18.34,20.88,0.26,2138.23,2043.32,2074.95,0,1,4
7.41,-14.65,29.9,29.79,16.06,-4.23,34.11,17.79,-23.08,11.56,31.35,0.26,2346.47,1943.47,2077.8,0,1,4
7.54,-14.66,29.71,29.61,16.15,-4.13,33.98,12.38,-37.74,-2.64,39.81,0.29,2005.58,1893.61,1930.93,0,1,4
7.73,-14.81,29.47,29.37,16.4,-4.07,33.88,8.03,-39.07,-12.65,41.84,0.32,1566.46,1927.48,1807.14,0,1,4
8.05,-14.86,29.38,29.28,16.63,-3.86,33.89,6.32,-35.33,-8.04,36.78,0.33,1487.14,1886.8,1753.58,0,1,4
7.99,-15.02,29.48,29.38,16.72,-4,34.04,-0.24,-51.3,-16.88,54,0.4,1327.49,1572.56,1490.87,0,1,4
8.01,-14.84,29.5,29.4,16.59,-3.87,33.98,3.76,-52.73,-20.15,56.58,0.39,1302.8,1602.25,1502.44,0,1,4
8.28,-14.9,29.45,29.36,16.81,-3.7,34.03,-1.12,-53.51,-18.15,56.51,0.35,1466.64,1848.16,1720.98,0,1,4
8.7,-14.82,29.73,29.65,17,-3.33,34.34,-12.71,-53.21,-11.66,55.93,0.33,1575.95,1975.48,1842.3,0,1,4
8.94,-14.78,29.85,29.78,17.13,-3.12,34.49,-14.09,-55.9,-10.03,58.51,0.35,1470.58,1836.53,1714.54,0,1,4
9.44,-14.78,30.01,29.95,17.44,-2.74,34.76,-1.89,-71.96,-21.95,75.26,0.38,1354.21,1674.46,1567.71,0,1,4
9.56,-14.63,30.13,30.07,17.39,-2.55,34.83,-12.57,-59.66,-12.1,62.16,0.32,1618.01,2039.59,1899.07,0,1,4
9.92,-14.35,30.25,30.2,17.4,-2.1,34.92,-15.37,-55.79,-11.9,59.08,0.34,1487.19,1876.94,1747.02,0,1,4
10.06,-14.39,30.14,30.09,17.52,-2.01,34.88,-10.94,-67.57,-17.89,70.75,0.59,952.95,1210.5,1124.65,0,1,4
10.32,-14.18,30.14,30.11,17.52,-1.68,34.87,-3.58,-80.01,-26.94,84.5,0.77,600.91,738.78,692.82,0,1,4
10.33,-13.68,30.18,30.15,17.14,-1.36,34.71,6.96,-82.21,-35.53,89.83,0.81,590.3,678.9,649.36,0,1,4
